clues,clues_nombre,jurisdiccion,municipio,localidad,tipologia,empresa_clave,tipo_clues,empresa_nombre,director_unidad,administrador,encargado_almacen,coordinador_comision_abasto,lugar_entrega
CSSSA002676,CANTÓN PLAYA GRANDE,7,HUIXTLA,CANTÓN PLAYA GRANDE,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002681,TZINACAL BUENOS AIRES,7,HUIXTLA,TZINACAL (BUENOS AIRES),"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002693,LA UNIÓN,7,HUIXTLA,LA UNIÓN,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002705,AZTLÁN,7,HUIXTLA,AZTLÁN,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002710,LA INDEPENDENCIA,3,LA INDEPENDENCIA,LA INDEPENDENCIA,"URBANO DE 02 NÚCLEOS BÁSICOS
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002722,ROSARIO BADENIA,3,LA INDEPENDENCIA,BADENIA,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002734,EMILIANO ZAPATA,3,LA INDEPENDENCIA,EMILIANO ZAPATA,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002746,FRANCISCO SARABIA,3,LA INDEPENDENCIA,FRANCISCO SARABIA,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002763,LA PATRIA,3,LA INDEPENDENCIA,LA PATRIA,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002775,TIERRA BLANCA,3,LA INDEPENDENCIA,TIERRA BLANCA,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002780,IXHUATÁN,5,IXHUATÁN,IXHUATÁN,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002792,SAN MIGUEL,5,IXHUATÁN,SAN MIGUEL,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002816,IXTACOMITÁN,5,IXTACOMITÁN,IXTACOMITÁN,"RURAL DE 02 NÚCLEOS BÁSICOS
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002821,ARENAL,5,IXTACOMITÁN,EL ARENAL,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002833,EMILIANO ZAPATA,5,IXTACOMITÁN,EMILIANO ZAPATA,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002845,MATAMOROS 1A. SECCIÓN,5,IXTACOMITÁN,MATAMOROS 1RA. SECCIÓN,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002850,NUEVO LINDAVISTA,5,IXTACOMITÁN,NUEVO LINDAVISTA,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002862,IXTAPA,1,IXTAPA,IXTAPA,"RURAL DE 02 NÚCLEOS BÁSICOS
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002874,CARLOS A. VIDAL,1,IXTAPA,CARLOS A. VIDAL,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002886,CONCEPCIÓN,1,IXTAPA,CONCEPCIÓN,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002891,EJIDO NUEVO SAN MIGUEL MITONTIC,1,IXTAPA,NUEVO SAN MIGUEL MITONTIC (PUNTA DE PIEDAD),"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002903,MAZANILHO,1,IXTAPA,MAZANILHO,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002920,JANA 2A. SECCIÓN,5,IXTAPANGAJOYA,JANA 2DA. SECCIÓN,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002932,JIQUIPILAS,1,JIQUIPILAS,JIQUIPILAS,"RURAL DE 02 NÚCLEOS BÁSICOS
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002956,JOSÉ MARÍA PINO SUÁREZ,1,JIQUIPILAS,JOSÉ MARÍA PINO SUÁREZ,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002961,MICHOACÁN,1,JIQUIPILAS,MICHOACÁN,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002973,CENTRO DE SALUD NUEVA PALESTINA,1,JIQUIPILAS,NUEVA PALESTINA,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002985,ANDRÉS QUINTANA ROO,1,JIQUIPILAS,QUINTANA ROO,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA002990,TILTEPEC,1,JIQUIPILAS,TILTEPEC,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003002,HIERBA SANTA,1,JIQUIPILAS,HIERBA SANTA,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003026,BENITO JUÁREZ,1,JIQUIPILAS,BENITO JUÁREZ,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003031,SANTA ROSA,1,JIQUIPILAS,SANTA ROSA,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003043,MARAVILLAS,5,JITOTOL,LAS MARAVILLAS,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003055,PAREDÓN,5,JITOTOL,PLAN PAREDÓN,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003060,RUBÉN JARAMILLO,5,JITOTOL,RUBÉN JARAMILLO,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003084,JUÁREZ,5,JUÁREZ,JUÁREZ,"RURAL DE 03 NÚCLEOS BÁSICOS Y MÁS
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003096,EJIDO IGNACIO ALLENDE,5,JUÁREZ,ALLENDE 1RA. SECCIÓN,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003101,5 DE MAYO,5,JUÁREZ,CINCO DE MAYO,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003113,SAN ANDRÉS LARRAINZAR,2,LARRÁINZAR,LARRÁINZAR,"RURAL DE 02 NÚCLEOS BÁSICOS
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003125,BAYALEMHO DOS,2,LARRÁINZAR,BAYALEMO DOS,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003130,STENLEJSOSTETIC,2,LARRÁINZAR,STENLEJSOTZTETIC,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003171,LA LIBERTAD,6,LA LIBERTAD,LA LIBERTAD,"RURAL DE 02 NÚCLEOS BÁSICOS
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003183,BENITO JUÁREZ,6,LA LIBERTAD,BENITO JUÁREZ CENTRO,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003195,ALDAMA,6,LA LIBERTAD,ALDAMA CENTRO,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003200,MAPASTEPEC,7,MAPASTEPEC,MAPASTEPEC,"RURAL DE 03 NÚCLEOS BÁSICOS Y MÁS
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003212,ADOLFO RUIZ CORTINES,7,MAPASTEPEC,ADOLFO RUIZ CORTÍNEZ,"UNIDAD MÓVIL
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003224,LA PLAYA,7,MAPASTEPEC,LA PLAYA,"UNIDAD MÓVIL
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003236,ABRAHAM GONZÁLEZ,7,MAPASTEPEC,ABRAHAM GONZÁLEZ,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003241,BARRITA DE PAJÓN,7,MAPASTEPEC,BARRITA DE PAJÓN,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003253,EJIDO IBARRA,7,MAPASTEPEC,IBARRA,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003265,H. B. C. DE LAS MARGARITAS,3,LAS MARGARITAS,LAS MARGARITAS,"HOSPITAL INTEGRAL (COMUNITARIO)
",exfarma,3,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003270,AMPARO AGUA TINTA,3,LAS MARGARITAS,AMPARO AGUA TINTA,"CENTRO DE SALUD CON HOSPITALIZACIÓN
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003294,GABRIEL LEYVA VELÁZQUEZ,3,LAS MARGARITAS,GABRIEL LEYVA VELÁZQUEZ,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003306,IGNACIO ZARAGOZA,3,LAS MARGARITAS,IGNACIO ZARAGOZA,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003311,JALISCO,3,LAS MARGARITAS,JALISCO,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003323,JUSTO SIERRA,3,LAS MARGARITAS,JUSTO SIERRA (SAN FRANCISCO),"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003381,SAN CARLOS DEL RÍO,3,LAS MARGARITAS,SAN CARLOS DEL RÍO,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003393,SAN ISIDRO,3,LAS MARGARITAS,SAN ISIDRO,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003405,SANTA MARTHA,3,LA INDEPENDENCIA,SANTA MARTHA,"UNIDAD MÓVIL
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003410,SAN JOSÉ LAS PALMAS,3,LAS MARGARITAS,SAN JOSÉ LAS PALMAS,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003422,SAN PEDRO YUTNIOTIC,3,LAS MARGARITAS,SAN PEDRO YUTNIOTIC,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003451,SANTA RITA SONORA,3,LAS MARGARITAS,SANTA RITA SONORA,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003475,SAN ANTONIO BAWITZ,3,LAS MARGARITAS,SAN ANTONIO BAWITZ,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003480,LA ESMERALDA,3,LAS MARGARITAS,LA ESMERALDA,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003492,JERUSALEM,3,LAS MARGARITAS,JERUSALÉN,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003504,LUCHA CAMPESINA,3,LAS MARGARITAS,LUCHA CAMPESINA,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003516,ESPÍRITU SANTO,3,LAS MARGARITAS,ESPÍRITU SANTO,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003533,EL ENCANTO,3,LAS MARGARITAS,EL ENCANTO,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003545,PROGRESO,3,LAS MARGARITAS,EL PROGRESO,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003550,LAS PERLAS,3,LAS MARGARITAS,LAS PERLAS,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003574,SAN JOSÉ LA REVANCHA,3,LAS MARGARITAS,SAN JOSÉ LA REVANCHA,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003586,GUADALUPE LAS FLORES,3,LAS MARGARITAS,GUADALUPE (LAS FLORES),"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003591,UNIÓN VICTORIA,3,LAS MARGARITAS,UNIÓN VICTORIA,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003603,MAZAPA DE MADERO,10,MAZAPA DE MADERO,MAZAPA DE MADERO,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003615,GRANADOS TALCANAQUE,10,MAZAPA DE MADERO,GRANADOS TALCANAQUE,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003620,LIBERTAD FRONTERA,10,MAZAPA DE MADERO,LIBERTAD FRONTERA,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003644,CANTÓN CORRALITO,7,MAZATÁN,EL CORRALITO,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003656,MARTE R. GÓMEZ,7,MAZATÁN,MARTE R. GÓMEZ,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003661,SANTA CLARA,7,MAZATÁN,SANTA CLARA,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003673,LA VICTORIA,7,MAZATÁN,LA VICTORIA,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003685,ADOLFO RUÍZ CORTINES,7,MAZATÁN,ADOLFO RUIZ CORTINES,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003690,LÁZARO CÁRDENAS,7,MAZATÁN,LÁZARO CÁRDENAS (LOS CUATES),"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003702,MITONTIC,2,MITONTIC,MITONTIC,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003714,CHALAM,2,MITONTIC,CHALAM,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003726,MOTOZINTLA DE MENDOZA,10,MOTOZINTLA,MOTOZINTLA DE MENDOZA,"URBANO DE 04 NÚCLEOS BÁSICOS
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003731,CABAÑAS,10,MOTOZINTLA,LAS CABAÑAS,"UNIDAD MÓVIL
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003743,FRANCISCO I. MADERO,10,MOTOZINTLA,FRANCISCO I. MADERO,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003755,SANTA ANA PINABETO,10,MOTOZINTLA,SANTA ANA PINABETO,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003760,RINCÓN DEL BOSQUE,10,MOTOZINTLA,RINCÓN DEL BOSQUE,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003772,VICENTE GUERRERO,10,MOTOZINTLA,VICENTE GUERRERO,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003796,MIGUEL ALEMÁN,10,MOTOZINTLA,MIGUEL ALEMÁN,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003801,RINCÓN BUENAVISTA,10,MOTOZINTLA,RINCÓN BUENAVISTA,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003813,LLANO GRANDE,10,MOTOZINTLA,LLANO GRANDE,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003825,LA VERBENA,10,MOTOZINTLA,LA VERBENA,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003830,EL HORIZONTE,10,MOTOZINTLA,NUEVO HORIZONTE,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003842,OCOSINGO,9,OCOSINGO,OCOSINGO,"URBANO DE 08 NÚCLEOS BÁSICOS
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003854,PERLA DE ACAPULCO,9,OCOSINGO,PERLA DE ACAPULCO,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003895,DOLORES LAS PALMAS,9,OCOSINGO,DOLORES,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003900,LA FRONTERA,9,OCOSINGO,LA FRONTERA UNO,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003912,NAZARETH,9,OCOSINGO,NAZARETH,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003941,SAN MARCOS,9,OCOSINGO,SAN MARCOS,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003953,SAN ANTONIO LAS DELICIAS PAMALA,9,OCOSINGO,SAN ANTONIO LAS DELICIAS (PAMALA),"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003965,LA UNIÓN,9,OCOSINGO,LA UNIÓN,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003970,YAXOQUIMTELA,9,OCOSINGO,YAXOQUINTELÁ,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA003982,EL ZAPOTAL UNO,9,OCOSINGO,EL ZAPOTAL,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA004006,CONGREGACION VIRGINIA,9,OCOSINGO,LA VIRGINIA,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA004011,SANTA ELENA,9,OCOSINGO,LAGUNA SANTA ELENA,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA004023,OJO DE AGUA,9,OCOSINGO,OJO DE AGUA,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA004035,NUEVA PALESTINA,6,OCOSINGO,NUEVA PALESTINA,"CENTRO DE SALUD CON HOSPITALIZACIÓN
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA004040,FRONTERA COROZAL,6,OCOSINGO,FRONTERA COROZAL,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA004052,MIGUEL HIDALGO,9,OCOSINGO,MIGUEL HIDALGO,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA004064,RAMÓN F. BALBOA,9,OCOSINGO,RAMÓN F. BALBOA,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA004076,SANTO DOMINGO,6,OCOSINGO,SANTO DOMINGO,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA004105,NUEVA MORELIA,9,OCOSINGO,NUEVA MORELIA,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA004122,SAN JUAN RÓMULO CALZADA,9,OCOSINGO,SAN JUAN RÓMULO CALZADA,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA004146,LA TRINIDAD,9,OCOSINGO,LA TRINIDAD,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA004163,CHAVARICO LAS PALMAS,9,OCOSINGO,CHAVARICO LAS PALMAS,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA004175,PUEBLO NUEVO UNO,9,OCOSINGO,PUEBLO NUEVO,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
